Dataset,Backbone,Horizon,DirectMSE_final,FinalMSE_final,MSEGain_pct,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource
Exchange,TimeMixer,96,0.092542667149715,0.0909065535188112,1.7679559940247445,0.2106000459423324,0.2087298629991448,Experiment37Selected,Experiment37Selected
Exchange,TimeMixer,192,0.1775089305750145,0.1775089305750145,0.0,0.2996925329550718,0.2996925329550718,Experiment37Selected,Experiment37Selected
Exchange,TimeMixer,336,0.3293218097835839,0.3293218097835839,0.0,0.4174324805899252,0.4174324805899252,Experiment37Selected,Experiment37Selected
Exchange,TimeMixer,720,1.149432104498986,1.149432104498986,0.0,0.8001252724911236,0.8001252724911236,Experiment37Selected,Experiment37Selected
Exchange,iTransformer,96,0.0984711895176797,0.0984711895176797,0.0,0.2234300116222898,0.2234300116222898,Experiment37Selected,Experiment37Selected
Exchange,iTransformer,192,0.1822884732481821,0.1822884732481821,0.0,0.3059674685417317,0.3059674685417317,Experiment37Selected,Experiment37Selected
Exchange,iTransformer,336,0.3460226894222213,0.3460226894222213,0.0,0.4261196656842224,0.4261196656842224,Experiment37Selected,Experiment37Selected
Exchange,iTransformer,720,0.8323040547127911,0.8323040547127911,0.0,0.6902834912190959,0.6902834912190959,Experiment37Selected,Experiment37Selected
Solar,PatchTST,96,0.1834286834023196,0.1804498540473651,1.6239713984213078,0.2461447941188977,0.2439171854956817,Experiment37Selected,Experiment37Selected
Solar,PatchTST,192,0.1887699359267186,0.187717599456842,0.5574703750946584,0.2409184192772119,0.2411476597832592,Experiment37Selected,Experiment37Selected
Solar,PatchTST,336,0.1995934477617568,0.1958214039422273,1.889863551048015,0.2536373088538962,0.2507597032778806,Experiment37Selected,Experiment37Selected
Solar,PatchTST,720,0.2139127534799074,0.2093844882262052,2.116874838006072,0.2605291778446755,0.2580265537641639,Experiment37Selected,Experiment37Selected
Solar,SegMoE,96,0.1891514878018879,0.1816166690072851,3.983483757999599,0.2329188753540613,0.2316961942819413,Experiment37Selected,Experiment37Selected
Solar,SegMoE,192,0.2246130578758383,0.2170937206005042,3.3476848347305985,0.2581548513140255,0.2616276954900982,Experiment37Selected,Experiment37Selected
Solar,SegMoE,336,0.2744595423203432,0.2346752292664643,14.495510965854288,0.2860790616207758,0.2791711063036513,Experiment37Selected,Experiment37Selected
Solar,SegMoE,720,0.3898442804190498,0.2694233377692328,30.8894983710867,0.3370395128206296,0.3030038960742263,Experiment37Selected,Experiment37Selected
Solar,TimeMixer,96,0.1952985305233216,0.190238755338425,2.590790197621305,0.2417479415997633,0.2420828170955047,Experiment37Selected,Experiment37Selected
Solar,TimeMixer,192,0.2285472596047608,0.2190607496859794,4.150786990483721,0.2696273099237662,0.2691074866484117,Experiment37Selected,Experiment37Selected
Solar,TimeMixer,336,0.2557546244569881,0.2331407037397095,8.842037857689531,0.2887077262137884,0.2809635960149015,Experiment37Selected,Experiment37Selected
Solar,TimeMixer,720,0.2533367162716108,0.2401810809025298,5.19294461643547,0.2867851204386265,0.2843303477603989,Experiment37Selected,Experiment37Selected
Solar,iTransformer,96,0.2040832482227266,0.1827217399083232,10.467056213791002,0.2299201397461288,0.228564496585452,Experiment37Selected,Experiment37Selected
Solar,iTransformer,192,0.2446279860377865,0.2131263954630226,12.877345345882835,0.2635451763610652,0.2575325380871774,Experiment37Selected,Experiment37Selected
Solar,iTransformer,336,0.2520724344224862,0.2168056403774507,13.990738069330709,0.2752909639016128,0.2650860448073997,Experiment37Selected,Experiment37Selected
Solar,iTransformer,720,0.2526167011589317,0.2251790147733785,10.861390501766945,0.2759176295601034,0.269137417426183,Experiment37Selected,Experiment37Selected
Traffic,PatchTST,96,0.3719117060096196,0.3717644268355507,0.0396005749991415,0.2576900387410405,0.2577253494328512,Experiment37Selected,Experiment37Selected
Traffic,PatchTST,192,0.3917456332311953,0.3914998519686902,0.0627400133290118,0.2652779459879735,0.2652809101389082,Experiment37Selected,Experiment37Selected
Traffic,PatchTST,336,0.406908366789165,0.4067529360430673,0.0381979725126247,0.2723713543362867,0.2724762297710443,Experiment37Selected,Experiment37Selected
Traffic,PatchTST,720,0.4386681230826301,0.4386167986937471,0.0117000498058502,0.2922233471023729,0.2923208931808042,Experiment37Selected,Experiment37Selected
Traffic,SegMoE,96,0.3664770527038604,0.3663602922869866,0.0318602259029182,0.2465796588848408,0.2466234416104168,Experiment37Selected,Experiment37Selected
Traffic,SegMoE,192,0.3835089048112506,0.3834537540185921,0.0143805768175281,0.2547590737354641,0.2548348317511931,Experiment37Selected,Experiment37Selected
Traffic,SegMoE,336,0.3990932773047924,0.3990616101178768,0.0079347833492626,0.2638411821560103,0.2639010975241485,Experiment37Selected,Experiment37Selected
Traffic,SegMoE,720,0.4430367654041073,0.4428845587918487,0.0343553005403035,0.2896020631048043,0.2897453432473728,Experiment37Selected,Experiment37Selected
Traffic,TimeMixer,96,0.4759760206865044,0.4754629005712898,0.1078037743318605,0.3027581799002423,0.3022218785471851,Experiment37Selected,Experiment37Selected
Traffic,TimeMixer,192,0.4850800259496363,0.4841336080540434,0.1951055176391097,0.3087460092251914,0.3080588909806448,Experiment37Selected,Experiment37Selected
Traffic,TimeMixer,336,0.498642347762079,0.4977751871024624,0.1739043351429163,0.3143314539443401,0.3139193103289484,Experiment37Selected,Experiment37Selected
Traffic,TimeMixer,720,0.5320848980115259,0.5321148938887966,-0.0056374231598761,0.3268207321282951,0.3268085816259822,Experiment37Selected,Experiment37Selected
Traffic,iTransformer,96,0.4111624751865889,0.4097479216126922,0.3440376151191087,0.2806010096249042,0.2795653891966414,Experiment37Selected,Experiment37Selected
Traffic,iTransformer,192,0.4282365687097482,0.4275471366363562,0.1609932742243773,0.2864257248126163,0.2856320951021556,Experiment37Selected,Experiment37Selected
Traffic,iTransformer,336,0.4443371749152441,0.445558554342592,-0.274876714418689,0.2944810058387463,0.2944687078898649,Experiment37Selected,Experiment37Selected
Traffic,iTransformer,720,0.4770733836085278,0.4753258548504211,0.3663018768493395,0.312971908039808,0.3121890899206157,Experiment37Selected,Experiment37Selected
Weather,PatchTST,96,0.149690249945833,0.1474399935758348,1.503275177115733,0.1978163951808312,0.1964175751595484,HistoricalRecovery,HistoricalRecovery
Weather,PatchTST,192,0.1947748265644509,0.1904821707053855,2.203906908701543,0.2408530072696432,0.2380721999040068,HistoricalRecovery,HistoricalRecovery
Weather,PatchTST,336,0.2469004297119012,0.2413028124618877,2.26715573421446,0.281547886687564,0.2799201052462586,HistoricalRecovery,HistoricalRecovery
