Dataset,Backbone,Horizon,MSEGain_pct,DirectMSE,FinalMSE,DirectMAE,FinalMAE,MSESource,MAESource,DirectMSE_recovered,FinalMSE_recovered,DirectMAE_recovered,FinalMAE_recovered,RecoverySource,RecoveredGain_pct,GainMismatch,DirectMSE_final,FinalMSE_final,DirectMAE_final,FinalMAE_final,MSEMetricSource,MAEMetricSource,AbsoluteMSEImprovement,RecomputedMSEGain_pct,GainConsistencyError
Exchange,PatchTST,336,0.0,0.3462905648655438,0.3462905648655438,0.4288734468001035,0.4288734468001035,Experiment37Selected,Experiment37Selected,0.3462905648655438,0.3462905648655438,0.4288734468001035,0.4288734468001035,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.3462905648655438,0.3462905648655438,0.4288734468001035,0.4288734468001035,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,PatchTST,720,0.0,0.8583899663438109,0.8583899663438109,0.6929867376095403,0.6929867376095403,Experiment37Selected,Experiment37Selected,0.8583899663438109,0.8583899663438109,0.6929867376095403,0.6929867376095403,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.8583899663438109,0.8583899663438109,0.6929867376095403,0.6929867376095403,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,SegMoE,96,0.0,0.0870032819827006,0.0870032819827006,0.2075456483885174,0.2075456483885174,Experiment37Selected,Experiment37Selected,,,,,,,,0.0870032819827006,0.0870032819827006,0.2075456483885174,0.2075456483885174,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,SegMoE,192,0.0,0.1831860621350999,0.1831860621350999,0.3071525825743877,0.3071525825743877,Experiment37Selected,Experiment37Selected,,,,,,,,0.1831860621350999,0.1831860621350999,0.3071525825743877,0.3071525825743877,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,SegMoE,336,0.0,0.3310333655488302,0.3310333655488302,0.4201781689744014,0.4201781689744014,Experiment37Selected,Experiment37Selected,,,,,,,,0.3310333655488302,0.3310333655488302,0.4201781689744014,0.4201781689744014,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,SegMoE,720,0.0,0.8083992845739248,0.8083992845739248,0.6801962909637481,0.6801962909637481,Experiment37Selected,Experiment37Selected,,,,,,,,0.8083992845739248,0.8083992845739248,0.6801962909637481,0.6801962909637481,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,TimeMixer,96,1.7679559940247445,0.092542667149715,0.0909065535188112,0.2106000459423324,0.2087298629991448,Experiment37Selected,Experiment37Selected,0.092542667149715,0.0909065535188112,0.2106000459423324,0.2087298629991448,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,1.7679559940247895,4.5075054799781356e-14,0.092542667149715,0.0909065535188112,0.2106000459423324,0.2087298629991448,Experiment37Selected,Experiment37Selected,0.001636113630903796,1.7679559940247895,4.5075054799781356e-14
Exchange,TimeMixer,192,0.0,0.1775089305750145,0.1775089305750145,0.2996925329550718,0.2996925329550718,Experiment37Selected,Experiment37Selected,0.1775089305750145,0.1775089305750145,0.2996925329550718,0.2996925329550718,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.1775089305750145,0.1775089305750145,0.2996925329550718,0.2996925329550718,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,TimeMixer,336,0.0,0.3293218097835839,0.3293218097835839,0.4174324805899252,0.4174324805899252,Experiment37Selected,Experiment37Selected,0.3293218097835839,0.3293218097835839,0.4174324805899252,0.4174324805899252,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.3293218097835839,0.3293218097835839,0.4174324805899252,0.4174324805899252,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,TimeMixer,720,0.0,1.149432104498986,1.149432104498986,0.8001252724911236,0.8001252724911236,Experiment37Selected,Experiment37Selected,1.149432104498986,1.149432104498986,0.8001252724911236,0.8001252724911236,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,1.149432104498986,1.149432104498986,0.8001252724911236,0.8001252724911236,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,iTransformer,96,0.0,0.0984711895176797,0.0984711895176797,0.2234300116222898,0.2234300116222898,Experiment37Selected,Experiment37Selected,0.0984711895176797,0.0984711895176797,0.2234300116222898,0.2234300116222898,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.0984711895176797,0.0984711895176797,0.2234300116222898,0.2234300116222898,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,iTransformer,192,0.0,0.1822884732481821,0.1822884732481821,0.3059674685417317,0.3059674685417317,Experiment37Selected,Experiment37Selected,0.1822884732481821,0.1822884732481821,0.3059674685417317,0.3059674685417317,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.1822884732481821,0.1822884732481821,0.3059674685417317,0.3059674685417317,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,iTransformer,336,0.0,0.3460226894222213,0.3460226894222213,0.4261196656842224,0.4261196656842224,Experiment37Selected,Experiment37Selected,0.3460226894222213,0.3460226894222213,0.4261196656842224,0.4261196656842224,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.3460226894222213,0.3460226894222213,0.4261196656842224,0.4261196656842224,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Exchange,iTransformer,720,0.0,0.8323040547127911,0.8323040547127911,0.6902834912190959,0.6902834912190959,Experiment37Selected,Experiment37Selected,0.8323040547127911,0.8323040547127911,0.6902834912190959,0.6902834912190959,/data/dataset/strong_forecaster/exchange_three_backbone_frozen_historical_memory/summary.csv,0.0,0.0,0.8323040547127911,0.8323040547127911,0.6902834912190959,0.6902834912190959,Experiment37Selected,Experiment37Selected,0.0,0.0,0.0
Solar,PatchTST,96,1.6239713984213078,0.1834286834023196,0.1804498540473651,0.2461447941188977,0.2439171854956817,Experiment37Selected,Experiment37Selected,0.1834286834023196,0.1804498540473651,0.2461447941188977,0.2439171854956817,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,1.623971398421338,3.019806626980426e-14,0.1834286834023196,0.1804498540473651,0.2461447941188977,0.2439171854956817,Experiment37Selected,Experiment37Selected,0.0029788293549544986,1.623971398421338,3.019806626980426e-14
Solar,PatchTST,192,0.5574703750946584,0.1887699359267186,0.187717599456842,0.2409184192772119,0.2411476597832592,Experiment37Selected,Experiment37Selected,0.1887699359267186,0.187717599456842,0.2409184192772119,0.2411476597832592,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,0.5574703750946438,1.454392162258955e-14,0.1887699359267186,0.187717599456842,0.2409184192772119,0.2411476597832592,Experiment37Selected,Experiment37Selected,0.001052336469876597,0.5574703750946438,1.454392162258955e-14
Solar,PatchTST,336,1.889863551048015,0.1995934477617568,0.1958214039422273,0.2536373088538962,0.2507597032778806,Experiment37Selected,Experiment37Selected,0.1995934477617568,0.1958214039422273,0.2536373088538962,0.2507597032778806,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,1.889863551048015,0.0,0.1995934477617568,0.1958214039422273,0.2536373088538962,0.2507597032778806,Experiment37Selected,Experiment37Selected,0.0037720438195295025,1.889863551048015,0.0
Solar,PatchTST,720,2.116874838006072,0.2139127534799074,0.2093844882262052,0.2605291778446755,0.2580265537641639,Experiment37Selected,Experiment37Selected,0.2139127534799074,0.2093844882262052,0.2605291778446755,0.2580265537641639,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,2.1168748380061113,3.952393967665557e-14,0.2139127534799074,0.2093844882262052,0.2605291778446755,0.2580265537641639,Experiment37Selected,Experiment37Selected,0.004528265253702202,2.1168748380061113,3.952393967665557e-14
Solar,SegMoE,96,3.983483757999599,0.1891514878018879,0.1816166690072851,0.2329188753540613,0.2316961942819413,Experiment37Selected,Experiment37Selected,,,,,,,,0.1891514878018879,0.1816166690072851,0.2329188753540613,0.2316961942819413,Experiment37Selected,Experiment37Selected,0.007534818794602799,3.9834837579996,8.881784197001252e-16
Solar,SegMoE,192,3.3476848347305985,0.2246130578758383,0.2170937206005042,0.2581548513140255,0.2616276954900982,Experiment37Selected,Experiment37Selected,,,,,,,,0.2246130578758383,0.2170937206005042,0.2581548513140255,0.2616276954900982,Experiment37Selected,Experiment37Selected,0.007519337275334104,3.3476848347306,1.3322676295501878e-15
Solar,SegMoE,336,14.495510965854288,0.2744595423203432,0.2346752292664643,0.2860790616207758,0.2791711063036513,Experiment37Selected,Experiment37Selected,,,,,,,,0.2744595423203432,0.2346752292664643,0.2860790616207758,0.2791711063036513,Experiment37Selected,Experiment37Selected,0.03978431305387889,14.495510965854304,1.5987211554602254e-14
Solar,SegMoE,720,30.8894983710867,0.3898442804190498,0.2694233377692328,0.3370395128206296,0.3030038960742263,Experiment37Selected,Experiment37Selected,,,,,,,,0.3898442804190498,0.2694233377692328,0.3370395128206296,0.3030038960742263,Experiment37Selected,Experiment37Selected,0.12042094264981701,30.889498371086688,1.0658141036401503e-14
Solar,TimeMixer,96,2.590790197621305,0.1952985305233216,0.190238755338425,0.2417479415997633,0.2420828170955047,Experiment37Selected,Experiment37Selected,0.1952985305233216,0.190238755338425,0.2417479415997633,0.2420828170955047,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,2.5907901976212773,2.7533531010703882e-14,0.1952985305233216,0.190238755338425,0.2417479415997633,0.2420828170955047,Experiment37Selected,Experiment37Selected,0.005059775184896614,2.5907901976212773,2.7533531010703882e-14
Solar,TimeMixer,192,4.150786990483721,0.2285472596047608,0.2190607496859794,0.2696273099237662,0.2691074866484117,Experiment37Selected,Experiment37Selected,0.2285472596047608,0.2190607496859794,0.2696273099237662,0.2691074866484117,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,4.150786990483686,3.4638958368304884e-14,0.2285472596047608,0.2190607496859794,0.2696273099237662,0.2691074866484117,Experiment37Selected,Experiment37Selected,0.009486509918781388,4.150786990483686,3.4638958368304884e-14
Solar,TimeMixer,336,8.842037857689531,0.2557546244569881,0.2331407037397095,0.2887077262137884,0.2809635960149015,Experiment37Selected,Experiment37Selected,0.2557546244569881,0.2331407037397095,0.2887077262137884,0.2809635960149015,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,8.842037857689542,1.0658141036401503e-14,0.2557546244569881,0.2331407037397095,0.2887077262137884,0.2809635960149015,Experiment37Selected,Experiment37Selected,0.022613920717278607,8.842037857689542,1.0658141036401503e-14
Solar,TimeMixer,720,5.19294461643547,0.2533367162716108,0.2401810809025298,0.2867851204386265,0.2843303477603989,Experiment37Selected,Experiment37Selected,0.2533367162716108,0.2401810809025298,0.2867851204386265,0.2843303477603989,/data/dataset/strong_forecaster/solar_three_backbone_frozen_historical_memory/summary.csv,5.1929446164354705,8.881784197001252e-16,0.2533367162716108,0.2401810809025298,0.2867851204386265,0.2843303477603989,Experiment37Selected,Experiment37Selected,0.013155635369081015,5.1929446164354705,8.881784197001252e-16
